experiment,setup,H,train_samples,test_samples,test_period,nRMSE,delta_vs_local_pct
Part 1: 單一期內部,Period 1 (2016-2017),1,53040,19257,同時期尾端,0.29222,
Part 1: 單一期內部,Period 1 (2016-2017),3,52683,19167,同時期尾端,0.42697,
Part 1: 單一期內部,Period 1 (2016-2017),6,51958,18983,同時期尾端,0.55174,
Part 1: 單一期內部,Period 2 (2018-2019),1,65378,22478,同時期尾端,0.26708,
Part 1: 單一期內部,Period 2 (2018-2019),3,65072,22336,同時期尾端,0.36169,
Part 1: 單一期內部,Period 2 (2018-2019),6,64302,22046,同時期尾端,0.43753,
Part 1: 單一期內部,Period 3 (2020-2021),1,40072,31522,同時期尾端,0.30081,
Part 1: 單一期內部,Period 3 (2020-2021),3,39898,31321,同時期尾端,0.44463,
Part 1: 單一期內部,Period 3 (2020-2021),6,39561,30889,同時期尾端,0.5675,
Part 2: 跨期對照,P3 本地模型 (2020 訓練) → 測 2021,3,-1,31446,Period 3 (2021),0.44223,0.0
Part 2: 跨期對照,P1 模型 (僅 2016-2017 訓練) → 測 2021,3,-1,31446,Period 3 (2021),0.42296,-4.36
Part 2: 跨期對照,P2 模型 (僅 2018-2019 訓練) → 測 2021,3,-1,31446,Period 3 (2021),0.42109,-4.78
Part 2: 跨期對照,P1+P2 模型 (2016-2019 訓練) → 測 2021,3,-1,31446,Period 3 (2021),0.40664,-8.05
