H,config,n_features,nRMSE,R2,delta_nrmse_pct,time_sec
1h,Full Baseline (全 44 特徵),44,0.12805,0.97131,0.0,2.02
1h,Pruned Top-22 (保留前 50% 核心特徵),22,0.12875,0.971,0.55,1.18
1h,Pruned Top-10 (極簡模式 Top-10),10,0.13781,0.96678,7.62,0.62
1h,無時間週期 (No Cyclical),40,0.13163,0.96969,2.8,2.51
1h,無湍流與風切 (No Turbulence),37,0.12936,0.97073,1.02,2.6
1h,無氣象密度 (No Atmosphere),40,0.12829,0.97121,0.18,2.21
1h,無風速滯後 (No Lags),38,0.12828,0.97121,0.18,2.51
3h,Full Baseline (全 44 特徵),44,0.20381,0.92544,0.0,1.89
3h,Pruned Top-22 (保留前 50% 核心特徵),22,0.20568,0.92407,0.92,1.07
3h,Pruned Top-10 (極簡模式 Top-10),10,0.21705,0.91544,6.49,0.48
3h,無時間週期 (No Cyclical),40,0.22068,0.91259,8.27,1.72
3h,無湍流與風切 (No Turbulence),37,0.20636,0.92356,1.25,1.33
3h,無氣象密度 (No Atmosphere),40,0.2055,0.9242,0.83,1.42
3h,無風速滯後 (No Lags),38,0.20385,0.92541,0.02,1.92
6h,Full Baseline (全 44 特徵),44,0.2592,0.87414,0.0,1.95
6h,Pruned Top-22 (保留前 50% 核心特徵),22,0.2599,0.87346,0.27,0.82
6h,Pruned Top-10 (極簡模式 Top-10),10,0.27262,0.86077,5.18,0.51
6h,無時間週期 (No Cyclical),40,0.28992,0.84254,11.85,2.01
6h,無湍流與風切 (No Turbulence),37,0.26002,0.87334,0.32,1.26
6h,無氣象密度 (No Atmosphere),40,0.26068,0.8727,0.57,1.3
6h,無風速滯後 (No Lags),38,0.25802,0.87528,-0.45,1.27
