H,method,nRMSE,R2
1h,1. Raw Baseline (原始含噪單點),0.24845,0.89638
1h,2. Savitzky-Golay 卷積平滑,0.23064,0.90935
1h,3. EMA 指數加權平滑,0.20871,0.92518
1h,4. Butterworth 巴特沃斯低通,0.2274,0.91166
3h,1. Raw Baseline (原始含噪單點),0.36226,0.78758
3h,2. Savitzky-Golay 卷積平滑,0.34926,0.79964
3h,3. EMA 指數加權平滑,0.33978,0.80901
3h,4. Butterworth 巴特沃斯低通,0.34783,0.80082
6h,1. Raw Baseline (原始含噪單點),0.45081,0.68387
6h,2. Savitzky-Golay 卷積平滑,0.44023,0.69414
6h,3. EMA 指數加權平滑,0.43471,0.69982
6h,4. Butterworth 巴特沃斯低通,0.4396,0.69433
1h,5. 區間發電能量預測 (Interval),0.12805,0.97131
3h,5. 區間發電能量預測 (Interval),0.20381,0.92544
6h,5. 區間發電能量預測 (Interval),0.2592,0.87414
