month,status
2016-03,skipped
2016-04,skipped
2016-05,skipped
2016-06,skipped
2016-07,skipped
2016-08,skipped
2016-09,skipped
2016-10,skipped
2016-11,skipped
2016-12,skipped
2017-01,skipped
2017-02,skipped
2017-03,skipped
2017-04,skipped
2017-05,skipped
2017-06,skipped
2017-07,skipped
2017-08,skipped
2017-09,skipped
2017-10,skipped
2017-11,skipped
2017-12,skipped
2018-01,skipped
2018-02,skipped
2018-03,skipped
2018-04,skipped
2018-05,skipped
2018-06,skipped
2018-07,skipped
2018-08,skipped
2018-09,skipped
2018-10,skipped
2018-11,skipped
2018-12,skipped
2019-01,skipped
2019-02,skipped
2019-03,skipped
2019-04,skipped
2019-05,skipped
2019-06,skipped
2019-07,skipped
2019-08,skipped
2019-09,skipped
2019-10,skipped
2019-11,skipped
2019-12,skipped
2020-01,skipped
2020-02,skipped
2020-04,skipped
2020-05,skipped
2020-06,skipped
2020-07,skipped
2020-08,skipped
2020-09,skipped
2020-10,skipped
2020-11,skipped
2020-12,skipped
2021-01,skipped
2021-02,skipped
2021-03,skipped
2021-04,skipped
2021-05,skipped
2021-07,skipped
2021-08,skipped
2021-09,skipped
2021-10,skipped
