hour,平均出力_MW,容量因數_pct
0,1.3570051649012431,27.140103298024865
1,1.3294299804896934,26.588599609793867
2,1.3408786749336876,26.817573498673745
3,1.365216473147348,27.304329462946956
4,1.3972385315686113,27.944770631372222
5,1.415246689450473,28.304933789009457
6,1.4144630310054311,28.28926062010862
7,1.4091805782206992,28.18361156441398
8,1.4621544128795174,29.24308825759035
9,1.6051514257404451,32.1030285148089
10,1.7926526301475045,35.85305260295009
11,1.9889329427023348,39.7786588540467
12,2.1567076853537057,43.13415370707412
13,2.2621802490058682,45.24360498011737
14,2.318851012280878,46.37702024561756
15,2.355564419020357,47.11128838040713
16,2.348718316103918,46.97436632207836
17,2.2622517869242147,45.2450357384843
18,2.1178781076973143,42.35756215394628
19,1.9422491537741844,38.84498307548369
20,1.7472206851279337,34.94441370255868
21,1.5841141409812345,31.682282819624692
22,1.4684305588486486,29.36861117697297
23,1.4071664812976945,28.14332962595389
