Feature,target_power_10m_Pearson,target_power_10m_Spearman,target_power_1h_Pearson,target_power_1h_Spearman,target_power_3h_Pearson,target_power_3h_Spearman,target_power_6h_Pearson,target_power_6h_Spearman
sim_power_mw,0.9792349565465848,0.9741558644549102,0.9154168287258397,0.9072909316226816,0.8080388249177453,0.8033072707008909,0.6867915786169316,0.6894809625586282
WS_100_mean,0.8585763725642683,0.9466594705522898,0.8218475866799219,0.8919167679507407,0.7530188726477147,0.8005415491146304,0.6659426075881623,0.698577972512001
WS100_diff1,0.03817242201203733,0.0368208412843674,0.03170247706890402,0.03550738756819493,0.027576937654873204,0.0332814032290461,0.023837706437525148,0.02753626835823876
WS100_diff6,0.0776790797947558,0.05638490552882737,0.0637332880378153,0.05068879051526537,0.06153334506854978,0.05257561533777521,0.04897743225225774,0.038844413819786934
WS100_roll_mean_1h,0.8386136714175448,0.914236529108631,0.804721180305613,0.8659626917077898,0.7370493343124753,0.7784699875701324,0.6527700532757941,0.6818469500208694
WS100_roll_std_1h,0.11955750898381852,0.1413356908002686,0.11471759279914233,0.139182712217746,0.10686938158999931,0.13841118747733272,0.10805530986523032,0.15352729544676527
Power_diff1,0.06879315185378547,0.04293050156014417,0.050789321031503645,0.03755356967394606,0.03920724645186608,0.03200245590018322,0.025592242763757756,0.02187072481359403
Power_diff6,0.1630162778095941,0.07883875150430067,0.12457218418923366,0.06330485324184518,0.10656834444120653,0.057895811500815644,0.07569504211648431,0.03526970383305469
Power_roll_mean_1h,0.9472673249297763,0.940085990259737,0.8930720760079366,0.8853325124023782,0.7897211695320502,0.787297282585582,0.6751955749887633,0.6814045330711652
Power_roll_std_1h,-0.051431580172312606,-0.28934399035531694,-0.0528634278804679,-0.28626859857087994,-0.0431805873400368,-0.2657410599606897,-0.02329154867427867,-0.2202897398834631
shear_alpha,-0.23390133973110794,-0.06295733506665327,-0.23350254751273591,-0.07728827369648429,-0.20780459687076094,-0.0657744382476334,-0.13266339316891163,-0.0022974650497504393
WS_100E_ti,-0.32817990744227016,-0.3293137097663297,-0.2941755091316065,-0.29430324078435777,-0.24061526906792577,-0.23868507630422264,-0.178302643869285,-0.17390316400720715
WS_100E_gust_factor,-0.3464420004156037,-0.38059703337805295,-0.3099380594160909,-0.34371432306869854,-0.2548226275401282,-0.2855196872067977,-0.18970266670249883,-0.21635768730471588
WD_97_sin,0.44397108586143835,0.4388374348205383,0.43873034477319817,0.42405766860868616,0.4472674496120709,0.4255857284430812,0.47351915310979475,0.45263961345470227
WD_97_cos,0.3977278225087818,0.27289116598712637,0.39368891923089205,0.2763984986244402,0.3772032733632747,0.2516609194645693,0.34112255736464947,0.18294287815540297
BP_93_mean,0.38705014954723377,0.4039002561376307,0.3861132224814746,0.40193254715181437,0.38728828980196545,0.4000523298164777,0.38975573707939326,0.39517558380189893
delta_BP_1h,0.035059905016686155,0.03647137281317023,0.019324991589636978,0.01605035728510168,0.002963828915569135,-0.0006587880298501429,0.04390409216061124,0.057791508356257876
delta_BP_3h,0.02515592459345359,0.024480881604279327,0.012580416246917484,0.010587289613659505,0.023188741864629853,0.027426689472289652,0.08111341257645659,0.09937870274145291
delta_BP_6h,0.013382720815561144,0.002556146273512068,0.018178703999751723,0.011277570521856569,0.05521936341663483,0.06016776104147592,0.11679837971806022,0.12617325508480248
AT_95_mean,-0.5486192448547279,-0.5034328415491173,-0.5408844246284519,-0.49373943215176175,-0.531742436878144,-0.48574360482445955,-0.5316875024382559,-0.48990412646148657
RH_95_mean,-0.13540329178106214,-0.09771418944676451,-0.13679117902534663,-0.10261488736907658,-0.12815597364386272,-0.10011419284685431,-0.10124667694183825,-0.07841379949037738
air_density,0.5338144368893352,0.4798749734831616,0.5274834556627915,0.47306893115893955,0.5201568356540732,0.4689638678853066,0.5197583063186229,0.4716585034401949
hour_sin,-0.08144319630230959,-0.07193355977759827,-0.043330057198043066,-0.032756838119087014,0.060310015008897364,0.07213106858197843,0.1946723623228331,0.20106019245171033
hour_cos,-0.0628238630200802,-0.04691081760487973,-0.09338622686542057,-0.08242806486823993,-0.12384174914504872,-0.11153156849946817,-0.0603629320253844,-0.04253270261342158
doy_sin,0.08330755706239011,0.1299201141845776,0.07954649245906346,0.12410260606178207,0.07282318006679557,0.11682398543709069,0.06917025964192608,0.11357211039299898
doy_cos,0.4936557458796229,0.42710845617656434,0.49096799866283003,0.4233525907351575,0.4844532293048613,0.41413585955569016,0.4775357577082845,0.40286298627507144
